time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year,movement
2023-08-11,177.36,178.61,176.57,177.93,17616,1,0,187.12580000000003,160.58025,184.87416825161796,168.44850515834446,182.62405979995225,186.4131540300293,189.4365,203.1328648826972,175.7401351173028,175.20410300270515,186.6725,198.14089699729487,-2.571805463216407,-0.3929869031873564,29.75,5.683811746656484,7.532614175840827,177.88,0.0281088374184834,-0.2075736325385713,4,8,up
2023-08-14,178.24,179.68,177.7,178.98,15661,1,0,187.155,160.7293,184.6430243986133,168.55329615179377,181.8952478399618,185.7374127545721,188.682,202.9258458289881,174.4381541710119,174.01889530541692,185.49250000000004,196.96610469458315,-2.7951031890702893,-0.873410160363943,32.98,7.531473127241223,7.029291943875708,177.93,0.5901197099982936,0.0281088374184834,0,8,down
2023-08-15,179.25,179.28,177.05,177.33,15701,1,0,187.1054,160.85565,184.3562391280795,168.6406265383431,180.98219827196945,184.97310250415643,187.842,202.67109923090348,173.01290076909655,173.0474959889965,183.955,194.86250401100352,-3.0698224536102714,-1.3126926190132089,30.6,7.322987390882699,6.846090754926801,178.98,-0.9218907140462472,0.5901197099982936,1,8,down
2023-08-16,177.14,178.52,176.7,176.72,18022,1,0,187.0198,160.9929,184.0567787701156,168.721018314081,180.12975861757556,184.222820458324,186.93,202.13466375820204,171.72533624179798,172.567099791225,182.34583333333333,192.12456687544167,-3.2987355816275112,-1.7099012115360694,29.75,5.372613577926352,6.7423580320167575,177.33,-0.3439914284103174,-0.9218907140462472,2,8,down
2023-08-17,177.25,177.26,173.48,174.62,18124,1,0,186.9246,161.14315,183.6867090144248,168.7797146492643,179.02780689406046,183.3498367802945,186.001,201.81789843174013,170.18410156825988,172.4490385290168,180.5858333333333,188.72262813764985,-3.608012413189442,-2.0895234518667443,26.96,3.11183149991223,5.269144156240427,176.72,-1.188320507016749,-0.3439914284103174,3,8,down
2023-08-18,172.88,175.03,172.33,174.36,20110,1,0,186.8278,161.23445,183.32095571974148,168.8352398766348,178.0942455152484,182.53257889117685,185.121,201.46350029830148,168.77849970169854,172.671240188728,179.05916666666667,185.44709314460533,-3.8299471112713945,-2.4376081837476744,26.62,4.65761191083626,4.380685662891614,174.62,-0.1488947428702314,-1.188320507016749,4,8,up
2023-08-21,174.87,176.12,173.73,175.96,16051,1,0,186.7938,161.34965,183.0322907895556,168.90613301219068,177.6673964121987,181.93507171925168,184.30400000000003,200.7625702902769,167.84542970972316,174.58055059609848,177.77,180.95944940390157,-3.832546124170108,-2.716595771832161,32.18,9.927028812572996,5.898824074440495,174.36,0.9176416609314008,-0.1488947428702314,0,8,up
2023-08-22,176.51,177.67,176.26,177.22,15247,1,0,186.72800000000004,161.48145,182.80435781741613,168.98885805684552,177.577917129759,181.50642883568327,183.4725,199.59485575218412,167.35014424781585,174.88693810675667,177.35083333333333,179.81472855990998,-3.690393828017619,-2.911355383069253,36.27,16.429710246532167,10.338116989980476,175.96,0.7160718345078365,0.9176416609314008,1,8,up
2023-08-23,179.15,181.54,178.66,181.1,13742,1,0,186.7298,161.6607,182.7375202559488,169.1093669319018,178.28233370380718,181.4694807597121,182.818,198.19231832635143,167.44368167364857,174.67482953947174,177.52666666666667,180.3785037938616,-3.227449506781113,-2.9745742078116253,46.89,33.105338080654775,19.82069237991998,177.22,2.1893691456946085,0.7160718345078365,2,8,down
2023-08-24,179.73,180.26,176.03,176.44,17122,1,0,186.587,161.84675,182.49055867728416,169.18230855446996,177.91386696304576,181.0122552361019,181.983,196.82913767954437,167.13686232045566,174.57913804060829,177.2325,179.8858619593917,-3.199701682373245,-3.0195997027239496,38.57,42.46291794314289,30.665988756776613,181.1,-2.5731639977912724,2.1893691456946085,3,8,up
